id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30321371,Goldfinch House - Seattle / Modern Home Near Beach,8570638,Brian And Leslie,Ballard,Sunset Hill,47.67067,-122.4,Entire home/apt,595,4,26,6/16/2024,0.42,1,114,12,STR-OPLI-23-000119
30426117,Private Room #1 amongst Seattle's finest amenities,56004960,Andrew,Other neighborhoods,Wallingford,47.66575,-122.33411,Private room,78,30,62,11/24/2023,0.92,13,180,3,
30500795,Private Room #2 amongst Seattle's finest amenities,56004960,Andrew,Other neighborhoods,Wallingford,47.66599,-122.33427,Private room,72,30,51,5/19/2024,0.76,13,180,3,
30535269,"Comfy  3 Bedroom House, with all the amenities.",228721932,Rickie,Central Area,Mann,47.61375,-122.29784,Entire home/apt,254,30,46,8/12/2023,0.71,1,127,1,STR-OPLI-19-002954
30578185,*Outstanding* apt. near Seattle Ctr.-So Lake Union,11383663,David,Queen Anne,West Queen Anne,47.63307,-122.36154,Entire home/apt,122,1,210,6/14/2024,3.13,2,257,44,STR-OPLI-19-002086
30772471,Spacious & private Seattle retreat in Beacon Hill,230248235,Allyson,Beacon Hill,Mid-Beacon Hill,47.54865,-122.29291,Entire home/apt,239,2,60,5/10/2024,0.9,1,312,11,STR-OPLI-19-002873
30775742,Spacious modern studio one block from Green Lake,230270645,Martha,Other neighborhoods,Green Lake,47.67203,-122.33522,Entire home/apt,112,2,199,6/17/2024,3.01,1,23,40,STR-OPLI-19-002678
30808504,Panoramic Views in Luxury Downtown Residence,9885864,Sky,Downtown,Central Business District,47.60972,-122.33799,Entire home/apt,110,30,16,3/26/2024,0.24,1,253,4,
30815319,Private West Seattle Garden Suite,133282491,Renate,West Seattle,Seaview,47.55612,-122.397,Entire home/apt,104,2,267,6/21/2024,3.98,1,282,42,STR-OPLI-19-000191
30859809,Ground floor private bed/bath in Ballard,230715390,Sean,Ballard,Loyal Heights,47.67738,-122.37685,Private room,80,30,33,4/5/2024,0.51,1,140,3,STR-OPLI-19-001393
30894545,"Townhouse at Downtown, Seattle University, Swedish",17342935,David,Central Area,Mann,47.60883,-122.29911,Entire home/apt,150,30,10,12/22/2023,0.16,3,333,2,
30916586,Gorgeous Queen Anne Townhouse - Rooftop Deck!,11983260,Mahnaz,Queen Anne,West Queen Anne,47.63852,-122.37568,Entire home/apt,279,2,95,4/15/2023,1.41,1,47,0,STR-OPLI-19-000969
30960947,"Spectacular Views- Skyline & Lake Union, Hi Speed Internet",231340748,Alice,Other neighborhoods,Wallingford,47.652302,-122.329552,Entire home/apt,150,1,321,6/9/2024,4.81,2,248,61,STR-OPLI-19-001117
31040215,Spectacular Lake Union View & High Speed Internet,231340748,Alice,Other neighborhoods,Wallingford,47.65313063,-122.3292096,Entire home/apt,102,1,429,6/14/2024,6.61,2,276,75,STR-OPLI-19-001117
31116686,"Spacious 2 Br with king beds, the heart of Seattle",145720154,Chima,Rainier Valley,Mount Baker,47.56877,-122.28518,Entire home/apt,153,1,80,5/10/2024,1.65,13,42,14,STR-OPLI-19-003006
